case_id,ai_diagnosis,human_decision,correction,reason,lesson,record_type
CASE-001,AI diagnosed physical interface cable failure,Edited,Subinterface Gi0/0.30 was administratively shutdown,AI overlooked subinterface status line protocol in show ip interface brief,Always check subinterface line protocol status in addition to physical link state,DEVELOPMENT_EXAMPLE
CASE-003,AI identified general routing failure between switches,Edited,Switch Fa0/24 missing VLAN 20 from switchport trunk allowed vlan list,AI misattributed Layer 2 trunk encapsulation filtering to Layer 3 routing table,Layer 2 trunk allowed lists filter traffic before Layer 3 routing can process it,DEVELOPMENT_EXAMPLE
CASE-006,AI diagnosed server outage on port 80,Edited,Host client configured with wrong DNS server IP address (192.168.1.253),AI failed to check client IP configuration and focused on external HTTP server,Client DNS configuration should be verified before investigating server status,DEVELOPMENT_EXAMPLE
CASE-011,AI suggested replacing router physical hardware,Rejected,OSPF Hello interval mismatch (10s on R1 vs 20s on R2),AI hallucinated hardware malfunction instead of inspecting OSPF timer configurations,Verify OSPF interface timers (Hello/Dead) when OSPF neighbor state is stuck in INIT,DEVELOPMENT_EXAMPLE
CASE-015,AI suggested adding static route for external destination,Edited,Missing ip nat inside configuration command on LAN interface Gi0/0,AI overlooked missing NAT role assignment on local router interface,Ensure interfaces are assigned ip nat inside/outside before troubleshooting translation tables,DEVELOPMENT_EXAMPLE
CASE-001,Switchport VLAN assignment mismatch or missing VLAN configuration.,Edited,Subinterface Gi0/0.30 is administratively down,AI identified general routing issue instead of explicit subinterface down state,Subinterface line status should be checked explicitly,DEVELOPMENT_EXAMPLE
DIAG-16,Switchport VLAN assignment mismatch or missing VLAN configuration.,Edited,Wrong access VLAN assigned,Human correction applied,Review guidelines applied,REAL_TEAM_REVIEW
DIAG-17,Missing static route or routing protocol neighbor timer mismatch.,Rejected,Incorrect AI route assumption,Human correction applied,Review guidelines applied,REAL_TEAM_REVIEW
DIAG-18,Network configuration anomaly detected requiring manual CLI investigation.,Edited,Real team correction test,AI missed subinterface state,Review guidelines applied,REAL_TEAM_REVIEW
CASE-001,Switchport VLAN assignment mismatch or missing VLAN configuration.,Edited,Subinterface Gi0/0.30 is administratively down,AI generalized fault as generic VLAN issue instead of specific subinterface status,Always inspect line protocol on subinterfaces explicitly,REAL_TEAM_REVIEW
