review_id,case_id,diagnosis_id,reviewer_name,status,ai_predicted_fault,corrected_diagnosis,reviewer_reason,ai_agreement,created_at
REV-001,NS-ACL-001,DIAG-NS-ACL-001-AUTO,Senior Network Specialist - Aman Kumar,ACCEPTED,Outbound ACL 'BLOCK-OLD' on Gi0/0.10 only permits 192.168.20.0/24; VLAN 30 is dropped by implicit deny.,,AI accurately identified the implicit deny on standard ACL BLOCK-OLD as the root cause of packet drops from VLAN 30 to VLAN 10.,TRUE,2026-08-20T09:15:00Z
REV-002,NS-VLAN-001,DIAG-NS-VLAN-001-AUTO,Senior Network Specialist - Aman Kumar,ACCEPTED,"VLAN 20 does not exist in the switch VLAN database, causing access port Fa0/5 to remain inactive/down.",,"Correct diagnosis. The VLAN database output clearly omitted VLAN 20, causing port status 'inactive'.",TRUE,2026-08-20T10:00:00Z
REV-003,NS-DNS-004,DIAG-NS-DNS-004-AUTO,Lead Network Architect - Riya Sharma,EDITED,Public DNS server 1.1.1.1 is offline or unreachable across the ISP WAN link.,Firewall extended ACL 'OUTSIDE-IN' permits TCP 53 but denies UDP 53 return traffic required for standard DNS queries.,"AI hallucinated an external server outage without checking the show access-lists output, which showed rule 10 only permitting TCP 53 while UDP DNS responses hit rule 30 deny.",FALSE,2026-08-20T11:30:00Z
REV-004,NS-VLAN-005,DIAG-NS-VLAN-005-AUTO,Junior Instructor - Priya Patel,REJECTED,Physical cabling defect between SW-Core and SW-Acc1 causing port shutdown.,VTP domain name case mismatch ('CISCO-LAB' vs 'cisco-lab') prevented VLAN 40 database synchronization.,Completely rejected AI hypothesis. Trunk link was up/up with 0 errors. VTP status clearly displayed domain case mismatch and revision 0.,FALSE,2026-08-20T14:10:00Z
REV-005,NS-DHCP-001,DIAG-NS-DHCP-001-AUTO,Senior Network Specialist - Aman Kumar,EDITED,DHCP Server at 192.168.50.10 has exhausted its IP allocation pool for VLAN 10.,Router subinterface Gi0/0.10 is missing the 'ip helper-address 192.168.50.10' DHCP relay configuration.,AI assumed server pool exhaustion without checking intermediate router configuration. Broadcast DHCP DISCOVER packets cannot cross subinterfaces without a relay agent.,FALSE,2026-08-21T09:45:00Z
REV-006,NS-ADV-004,DIAG-NS-ADV-004-AUTO,Lead Network Architect - Riya Sharma,EDITED,Transceiver hardware failure or bad RJ-45 termination on FastEthernet0/11.,Spanning-Tree BPDU Guard shut down port Fa0/11 into err-disabled state after receiving BPDUs from an attached mini-switch.,AI missed the clear syslog message %SPANTREE-2-BLOCK_BPDUGUARD and status err-disabled. Corrected to BPDU Guard trigger.,FALSE,2026-08-21T13:20:00Z
REV-007,NS-ROUT-003,DIAG-NS-ROUT-003-AUTO,Senior Network Specialist - Aman Kumar,EDITED,OSPF Hello and Dead timer interval mismatch between R1 and R3.,"MTU mismatch on Gi0/1 (1500 bytes on R1 vs 1400 bytes on R3) causes OSPF DBD packet rejection, stalling adjacency in EXSTART.","Show interfaces showed MTU 1500 vs 1400, and show log explicitly flagged 'Bad Length in DBD'. OSPF timers were identical.",FALSE,2026-08-22T10:15:00Z
REV-008,NS-GW-001,DIAG-NS-GW-001-AUTO,Junior Instructor - Priya Patel,ACCEPTED,"Host default gateway is configured as 10.1.20.1, outside the host subnet 10.1.10.0/24.",,Accurate deterministic diagnosis.,TRUE,2026-08-22T11:00:00Z
REV-009,NS-NAT-001,DIAG-NS-NAT-001-AUTO,Senior Network Specialist - Aman Kumar,ACCEPTED,WAN interface GigabitEthernet0/1 is missing 'ip nat outside' configuration.,,Directly confirmed by show ip nat statistics showing Outside interfaces: none.,TRUE,2026-08-22T15:30:00Z
REV-010,NS-TRUNK-001,DIAG-NS-TRUNK-001-AUTO,Lead Network Architect - Riya Sharma,ACCEPTED,Native VLAN mismatch across trunk link (VLAN 1 on SW1 vs VLAN 99 on SW2).,,CDP log and show interfaces trunk clearly prove the native VLAN discrepancy.,TRUE,2026-08-23T09:00:00Z
