case_id,symptom,topology_note,show_output,expected_fault,osi_layer,concept,severity,dataset_status
CASE-001,PC receives an IP address but cannot reach the server,PC is located in VLAN 30 and connects through a switch to a router,Gi0/0.30 is down. switchport access vlan 30 configured on Switch port Fa0/3.,Missing inter-VLAN route / Subinterface administratively down,Layer 3,Routing,High,SAMPLE
CASE-002,Host cannot communicate with hosts on the same switch in VLAN 10,PC1 Fa0/1 is assigned to default VLAN 1 instead of VLAN 10,FastEthernet0/1 access vlan 1. vlan 10 name Sales exists.,Interface assigned to wrong VLAN,Layer 2,VLAN,Medium,SAMPLE
CASE-003,Traffic from VLAN 20 is not reaching the router across trunk link,Switch SW1 Fa0/24 is connected to SW2 Fa0/24. Trunk allows only VLAN 10,switchport trunk allowed vlan 10 configured on Fa0/24.,VLAN missing from trunk allowed list,Layer 2,VLAN,High,SAMPLE
CASE-004,PC fails to obtain IP address via DHCP and gets APIPA address 169.254.x.x,PC connected to SW1 Fa0/5 in VLAN 15. Router R1 acts as DHCP server,ip dhcp pool VLAN15 configured but default-router parameter missing.,DHCP pool missing default-router configuration,Layer 7,DHCP,High,SAMPLE
CASE-005,Hosts in VLAN 20 cannot obtain DHCP address across Router subinterface,DHCP server located on remote subnet 10.0.0.100. R1 subinterface Gi0/0.20 has no ip helper-address,interface GigabitEthernet0/0.20 ip address 192.168.20.1 255.255.255.0. No helper address.,Missing IP helper-address on router subinterface,Layer 3,DHCP,High,SAMPLE
CASE-006,PC can ping IP address 8.8.8.8 but cannot browse websites using domain names,PC configured with IP 192.168.1.50 gateway 192.168.1.1 DNS server set to 192.168.1.253 which is non-existent,ipconfig shows DNS Server: 192.168.1.253. Ping to 192.168.1.253 times out.,Incorrect DNS server IP configured on client,Layer 7,DNS,Medium,SAMPLE
CASE-007,Router cannot resolve domain name for internal server web.corp.local,Router R1 attempting to resolve DNS via ip domain-lookup without ip name-server,ip domain-lookup is enabled but show run shows no ip name-server configured.,Missing ip name-server configuration on router,Layer 7,DNS,Low,SAMPLE
CASE-008,PC in Subnet 192.168.1.0/24 cannot reach Subnet 10.1.1.0/24 across Router R1,Router R1 has interface Gi0/0 (192.168.1.1) and Gi0/1 (10.1.1.1). Gi0/1 interface is shutdown,GigabitEthernet0/1 is administratively down line protocol is down.,Interface administratively shutdown,Layer 1,Gateway,High,SAMPLE
CASE-009,Host PC1 gateway set to 192.168.1.254 but router subinterface is 192.168.1.1,PC1 network configuration shows Default Gateway: 192.168.1.254,ipconfig /all shows Gateway 192.168.1.254. R1 subinterface Gi0/0.10 is 192.168.1.1/24.,Default gateway mismatch on host,Layer 3,Gateway,High,SAMPLE
CASE-010,Branch office router R2 cannot reach HQ subnet 172.16.0.0/16,R2 connected to R1 via serial link 10.0.0.0/30. R2 missing static route to HQ,show ip route on R2 shows Gateway of last resort is not set and no static route for 172.16.0.0/16.,Missing static route or default route,Layer 3,Routing,High,SAMPLE
CASE-011,OSPF adjacency between R1 and R2 stuck in INIT state,R1 Gi0/0 IP 10.0.0.1/30 area 0 hello-interval 10. R2 Gi0/0 IP 10.0.0.2/30 area 0 hello-interval 20,R1 show ip ospf interface Gi0/0 shows Hello 10. R2 show ip ospf interface Gi0/0 shows Hello 20.,OSPF Hello timer mismatch,Layer 3,Routing,High,SAMPLE
CASE-012,EIGRP neighbors fail to establish relationship between R1 and R2,R1 EIGRP AS 100 configured. R2 EIGRP AS 200 configured.,R1 router eigrp 100. R2 router eigrp 200. show ip eigrp neighbors is empty.,EIGRP Autonomous System (AS) mismatch,Layer 3,Routing,High,SAMPLE
CASE-013,Web server 192.168.1.100 port 80 inaccessible from external network,Router R1 ACL 101 applied inbound on Gi0/0 permits ICMP but denies TCP port 80,access-list 101 permit icmp any any. access-list 101 deny tcp any host 192.168.1.100 eq 80.,ACL blocking inbound HTTP traffic,Layer 4,ACL,High,SAMPLE
CASE-014,Management PC 192.168.1.5 cannot SSH to Router R1 interface 10.0.0.1,Line vty 0 4 has access-class 10 in. ACL 10 permits 192.168.1.0/28 (192.168.1.1-192.168.1.14 except .5 is denied by line 1),access-list 10 deny host 192.168.1.5. access-list 10 permit 192.168.1.0 0.0.0.255.,ACL explicitly denying host access to VTY lines,Layer 4,ACL,Medium,SAMPLE
CASE-015,Internal LAN hosts cannot access Internet through NAT Gateway R1,R1 interface Gi0/0 (LAN) missing ip nat inside. Gi0/1 (WAN) has ip nat outside.,show ip nat statistics shows 0 inside interfaces configured.,Missing ip nat inside command on LAN interface,Layer 3,NAT,High,SAMPLE
CASE-016,Dynamic NAT overload (PAT) fails to translate private addresses,ip nat inside source list 1 interface Gi0/1 overload configured. ACL 1 permits 192.168.1.0 0.0.0.255. LAN IP is 172.16.1.0/24,show ip nat translations is empty. show access-lists 1 shows permit 192.168.1.0 0.0.0.255.,NAT ACL subnet mismatch with actual LAN IP addressing,Layer 3,NAT,High,SAMPLE
CASE-017,Wireless Laptop cannot connect to WAP SSID 'Cisco_Guest',Wireless Access Point SSID configured as 'Cisco_Guest_Secured' with WPA2-PSK,WAP show wireless status shows SSID Cisco_Guest_Secured. Laptop attempting SSID Cisco_Guest.,Wireless SSID mismatch between client and WAP,Layer 2,Wireless,Medium,SAMPLE
CASE-018,Wireless Host connects to SSID but fails authentication,WAP security set to WPA2-PSK key 'CiscoPass123!'. Client configured with key 'Ciscopass123!',Authentication logs show PSK mismatch / radius failure on authentication handshake.,Wireless WPA2 Pre-Shared Key mismatch,Layer 2,Wireless,High,SAMPLE
CASE-019,Duplicate IP address conflict reported on Switch SW1 for 192.168.1.10,PC1 and Printer PR1 both manually assigned IP address 192.168.1.10/24,show ip arp shows duplicate IP 192.168.1.10 mapped to two distinct MAC addresses.,Duplicate IP address assigned to multiple devices,Layer 3,Gateway,High,SAMPLE
CASE-020,PC1 and PC2 in same VLAN cannot ping due to subnet mask mismatch,PC1 IP 192.168.1.50/24 (255.255.255.0). PC2 IP 192.168.1.200/25 (255.255.255.128),PC1 ipconfig: 192.168.1.50 255.255.255.0. PC2 ipconfig: 192.168.1.200 255.255.255.128.,Host subnet mask misconfiguration causing cross-subnet routing requirement,Layer 3,Gateway,Medium,SAMPLE
CASE-021,VLAN 50 created on Switch SW1 but missing on Switch SW2 across trunk,SW1 Fa0/10 in VLAN 50. SW2 Fa0/5 in VLAN 50. SW2 has no VLAN 50 in database,show vlan brief on SW2 does not list VLAN 0050. Ports on SW2 in VLAN 50 inactive.,VLAN does not exist in switch VLAN database,Layer 2,VLAN,High,SAMPLE
CASE-022,Port Security error-disables interface Fa0/2 on Switch SW1,Port Security max 1 MAC address violated when user plugged in secondary switch,show interface Fa0/2 shows status err-disabled. Port security violation count: 1.,Port security violation shutdown,Layer 2,VLAN,High,SAMPLE
