case_id,title,concept,severity,difficulty,expected_fault,ai_root_cause,confidence,rule_flags_count,is_agreement
NS-VLAN-001,Access Port Assigned to Non-Existent VLAN,VLAN,High,Easy,"VLAN 20 does not exist in the switch VLAN database, causing access port Fa0/5 to remain inactive/down.","VLAN 20 does not exist in the switch VLAN database, causing access port Fa0/5 to remain inactive/down.",high,1,True
NS-VLAN-002,Access Port Configured in Wrong VLAN,VLAN,Medium,Easy,"Switch port Fa0/12 is configured in VLAN 30 instead of VLAN 10, isolating PC-B into a different broadcast domain.","Switch port Fa0/12 is configured in VLAN 30 instead of VLAN 10, isolating PC-B into a different broadcast domain.",high,0,True
NS-VLAN-003,Voice and Data VLAN Encapsulation Conflict,VLAN,High,Medium,Interface Fa0/18 is left in dynamic desirable mode with no access VLAN 10 and no auxiliary voice VLAN 150 configured.,Interface Fa0/18 is left in dynamic desirable mode with no access VLAN 10 and no auxiliary voice VLAN 150 configured.,high,0,True
NS-VLAN-004,Inter-VLAN Subinterface Encapsulation Mismatch,VLAN,Critical,Medium,Router subinterface Gi0/0.30 has mismatched 802.1Q tag 300 instead of VLAN tag 30.,Router subinterface Gi0/0.30 has mismatched 802.1Q tag 300 instead of VLAN tag 30.,high,1,True
NS-VLAN-005,VTP Domain Mismatch Blocking VLAN Propagation,VLAN,Medium,Hard,"VTP domain name is case-sensitive ('CISCO-LAB' vs 'cisco-lab'), preventing VTP VLAN database synchronization.","VTP domain name is case-sensitive ('CISCO-LAB' vs 'cisco-lab'), preventing VTP VLAN database synchronization.",high,0,True
NS-GW-001,Default Gateway Outside Host Subnet,Gateway,High,Easy,"Host default gateway is configured as 10.1.20.1, which belongs to a different subnet than host IP 10.1.10.45/24. Correct gateway is 10.1.10.1.","Host default gateway is configured as 10.1.20.1, which belongs to a different subnet than host IP 10.1.10.45/24. Correct gateway is 10.1.10.1.",high,1,True
NS-GW-002,Subnet Mask Mismatch Between Host and Router,Gateway,Medium,Medium,"PC-3 has subnet mask 255.255.255.128 (/25), splitting 172.16.1.0/24 into two subnets. PC-3 considers gateway 172.16.1.1 on network 172.16.1.0/25 to be in a remote subnet.","PC-3 has subnet mask 255.255.255.128 (/25), splitting 172.16.1.0/24 into two subnets. PC-3 considers gateway 172.16.1.1 on network 172.16.1.0/25 to be in a remote subnet.",high,2,True
NS-GW-003,Duplicate IP Address on Local Network,Gateway,Critical,Medium,"Duplicate IP address 192.168.1.50 statically configured on both Server-A (Fa0/2) and Printer-1 (Fa0/14), causing ARP poisoning and MAC flapping.","Duplicate IP address 192.168.1.50 statically configured on both Server-A (Fa0/2) and Printer-1 (Fa0/14), causing ARP poisoning and MAC flapping.",high,1,True
NS-GW-004,Host Assigned Subnet Network Address as Host IP,Gateway,High,Easy,"Laptop-1 is invalidly configured with host IP 10.0.5.0, which is the reserved Subnet/Network ID of 10.0.5.0/24.","Laptop-1 is invalidly configured with host IP 10.0.5.0, which is the reserved Subnet/Network ID of 10.0.5.0/24.",high,1,True
NS-DHCP-001,Missing IP Helper-Address for DHCP Relay,DHCP,High,Medium,Router interface Gi0/0.10 is missing the 'ip helper-address 192.168.50.10' configuration to relay broadcast DHCP DISCOVER requests across subnets.,Router interface Gi0/0.10 is missing the 'ip helper-address 192.168.50.10' configuration to relay broadcast DHCP DISCOVER requests across subnets.,high,1,True
NS-DHCP-002,DHCP Pool Exhaustion,DHCP,High,Medium,"The DHCP pool subnet is sized at /28 (14 usable addresses) and all 14 addresses have been leased, exhausting the pool for new clients.","The DHCP pool subnet is sized at /28 (14 usable addresses) and all 14 addresses have been leased, exhausting the pool for new clients.",high,1,True
