case_id,title,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity,difficulty,expected_next_command,expected_fix,verification_method,tags
NS-VLAN-001,Access Port Assigned to Non-Existent VLAN,Host PC-A connected to Switch SW1 port FastEthernet0/5 cannot communicate with other hosts in VLAN 20 or reach the default gateway.,PC-A (192.168.20.15/24) -> SW1 (Fa0/5) -> Router R1 (Sub-int Gi0/0.20 192.168.20.1/24),"SW1# show vlan brief
VLAN Name Status Ports
---- -------------------------------- --------- -------------------------------
1 default active Fa0/1, Fa0/2, Fa0/3, Fa0/4, Fa0/6
10 Sales active Fa0/7, Fa0/8
1002 fddi-default act/unsup

SW1# show running-config interface FastEthernet0/5
interface FastEthernet0/5
 switchport access vlan 20
 switchport mode access
!
SW1# show interfaces FastEthernet0/5 status
Port Name Status Vlan Duplex Speed Type
Fa0/5 PC-A-Link inactive 20 auto auto 10/100BaseTX","VLAN 20 does not exist in the switch VLAN database, causing access port Fa0/5 to remain inactive/down.",Layer 2 (Data Link),VLAN,High,Easy,show vlan brief,"SW1(config)# vlan 20
SW1(config-vlan)# name Engineering
SW1(config-vlan)# exit",show vlan brief | include 20; ping 192.168.20.1 from PC-A (5/5 success),vlan;layer2;switchport;database;inactive-port
NS-VLAN-002,Access Port Configured in Wrong VLAN,PC-B is assigned IP 192.168.10.25 but cannot reach server 192.168.10.10 in the same IP subnet.,PC-B -> SW1 (Fa0/12) | Server -> SW1 (Fa0/10) | Both intended for VLAN 10 (Sales),"SW1# show vlan brief
VLAN Name Status Ports
---- -------------------------------- --------- -------------------------------
1 default active Fa0/1, Fa0/2
10 Sales active Fa0/10, Fa0/11
30 Marketing active Fa0/12, Fa0/13

SW1# show mac address-table dynamic
 Mac Address Table
-------------------------------------------
Vlan Mac Address Type Ports
---- ----------- -------- -----
 10 0060.2f8a.1101 DYNAMIC Fa0/10
 30 0060.2f8a.2202 DYNAMIC Fa0/12","Switch port Fa0/12 is configured in VLAN 30 instead of VLAN 10, isolating PC-B into a different broadcast domain.",Layer 2 (Data Link),VLAN,Medium,Easy,show running-config interface Fa0/12,"SW1(config)# interface Fa0/12
SW1(config-if)# switchport access vlan 10
SW1(config-if)# exit",ping 192.168.10.10 from PC-B (success rate is 100 percent),vlan;access-port;broadcast-domain;mac-table
NS-VLAN-003,Voice and Data VLAN Encapsulation Conflict,IP Phone 7960 boots but connected PC cannot receive IP address from Data VLAN 10 and phone registration fails on Voice VLAN 150.,"PC -> IP-Phone (PC Port) -> SW1 (Fa0/18) [Data VLAN 10, Voice VLAN 150]","SW1# show interfaces FastEthernet0/18 switchport
Name: Fa0/18
Switchport: Enabled
Administrative Mode: dynamic desirable
Operational Mode: down
Administrative Trunking Encapsulation: dot1q
Operational Trunking Encapsulation: native
Negotiation of Trunking: On
Access Mode VLAN: 1 (default)
Trunking Native Mode VLAN: 1 (default)
Voice VLAN: none

SW1# show running-config interface Fa0/18
interface FastEthernet0/18
 switchport mode dynamic desirable
!",Interface Fa0/18 is left in dynamic desirable mode with no access VLAN 10 and no auxiliary voice VLAN 150 configured.,Layer 2 (Data Link),VLAN,High,Medium,show interfaces Fa0/18 switchport,"SW1(config)# interface Fa0/18
SW1(config-if)# switchport mode access
SW1(config-if)# switchport access vlan 10
SW1(config-if)# switchport voice vlan 150
SW1(config-if)# spanning-tree portfast",show interfaces Fa0/18 switchport; verify Voice VLAN: 150 and Access VLAN: 10,vlan;voice-vlan;voip;switchport;portfast
NS-VLAN-004,Inter-VLAN Subinterface Encapsulation Mismatch,"VLAN 20 hosts can ping their gateway 192.168.20.1, but VLAN 30 hosts cannot ping their gateway 192.168.30.1 on Router-on-a-Stick.",SW1 (Trunk Gi0/1) -> R1 (Router-on-a-Stick Gi0/0.20 & Gi0/0.30),"R1# show ip interface brief | include GigabitEthernet0/0
GigabitEthernet0/0 unassigned YES unset up up
GigabitEthernet0/0.20 192.168.20.1 YES manual up up
GigabitEthernet0/0.30 192.168.30.1 YES manual up up

R1# show running-config interface GigabitEthernet0/0.30
interface GigabitEthernet0/0.30
 encapsulation dot1Q 300
 ip address 192.168.30.1 255.255.255.0
!",Router subinterface Gi0/0.30 has mismatched 802.1Q tag 300 instead of VLAN tag 30.,Layer 3 (Network),VLAN,Critical,Medium,show running-config interface Gi0/0.30,"R1(config)# interface GigabitEthernet0/0.30
R1(config-subif)# encapsulation dot1Q 30
R1(config-subif)# ip address 192.168.30.1 255.255.255.0",ping 192.168.30.1 from VLAN 30 PC (success rate 100 percent),vlan;inter-vlan;router-on-a-stick;dot1q;encapsulation
NS-VLAN-005,VTP Domain Mismatch Blocking VLAN Propagation,"Newly created VLAN 40 on Core Switch SW-Core is not appearing on Access Switch SW-Acc1, causing Fa0/2 users to drop off the network.",SW-Core (VTP Server) <---> SW-Acc1 (VTP Client) via Trunk Gi0/1,"SW-Core# show vtp status
VTP Version : 2
Configuration Revision : 8
Maximum VLANs supported locally : 255
Number of existing VLANs : 7
VTP Operating Mode : Server
VTP Domain Name : CISCO-LAB
VTP Pruning Mode : Disabled

SW-Acc1# show vtp status
VTP Version : 2
Configuration Revision : 0
Maximum VLANs supported locally : 255
Number of existing VLANs : 5
VTP Operating Mode : Client
VTP Domain Name : cisco-lab
VTP Pruning Mode : Disabled","VTP domain name is case-sensitive ('CISCO-LAB' vs 'cisco-lab'), preventing VTP VLAN database synchronization.",Layer 2 (Data Link),VLAN,Medium,Hard,show vtp status,SW-Acc1(config)# vtp domain CISCO-LAB,show vlan brief on SW-Acc1 shows VLAN 40 active with config revision incremented,vlan;vtp;trunk;domain-mismatch;database-sync
NS-GW-001,Default Gateway Outside Host Subnet,Workstation WS-1 (10.1.10.45/24) can reach local hosts on 10.1.10.0/24 but cannot reach the internet or default gateway 10.1.20.1.,WS-1 (10.1.10.45/24) -> SW1 -> R1 (Gateway interface Gi0/0 10.1.10.1/24),"WS-1> ipconfig
FastEthernet0 Connection:
 IP Address......................: 10.1.10.45
 Subnet Mask.....................: 255.255.255.0
 Default Gateway.................: 10.1.20.1

R1# show ip interface brief | include GigabitEthernet0/0
GigabitEthernet0/0 10.1.10.1 YES manual up up

WS-1> ping 10.1.20.1
Pinging 10.1.20.1 with 32 bytes of data:
Request timed out.
Request timed out.","Host default gateway is configured as 10.1.20.1, which belongs to a different subnet than host IP 10.1.10.45/24. Correct gateway is 10.1.10.1.",Layer 3 (Network),Gateway,High,Easy,show ip interface brief on R1; check host ipconfig,Configure WS-1 Default Gateway to 10.1.10.1,"ping 10.1.10.1 from WS-1 (0% loss, reply in <1ms)",gateway;ip;subnet;host-config;unreachable
NS-GW-002,Subnet Mask Mismatch Between Host and Router,"Host PC-3 with IP 172.16.1.130 can ping gateway 172.16.1.1, but hosts in upper range (e.g. 172.16.1.200) cannot communicate with PC-3.",PC-3 (172.16.1.130) -> SW1 -> Router R1 (Gi0/1 172.16.1.1/24),"PC-3> ipconfig
FastEthernet0 Connection:
 IP Address......................: 172.16.1.130
 Subnet Mask.....................: 255.255.255.128
 Default Gateway.................: 172.16.1.1

R1# show running-config interface GigabitEthernet0/1
interface GigabitEthernet0/1
 ip address 172.16.1.1 255.255.255.0
 duplex auto
 speed auto
!","PC-3 has subnet mask 255.255.255.128 (/25), splitting 172.16.1.0/24 into two subnets. PC-3 considers gateway 172.16.1.1 on network 172.16.1.0/25 to be in a remote subnet.",Layer 3 (Network),Gateway,Medium,Medium,show ip interface Gi0/1 on R1; verify host mask,Update PC-3 Subnet Mask to 255.255.255.0,ping 172.16.1.1 and ping 172.16.1.200 from PC-3 (100% success),subnet;mask-mismatch;vlsm;gateway
NS-GW-003,Duplicate IP Address on Local Network,Intermittent packet loss and ARP flapping between Server-A (192.168.1.50) and clients accessing web services.,Server-A (192.168.1.50) | Printer-1 (192.168.1.50) -> SW1 -> Clients,"SW1# show log
%SYS-4-DUPLICATE_IP: 192.168.1.50 duplicate IP address received from 0010.1122.3344 on FastEthernet0/2 and 00e0.f789.abcd on FastEthernet0/14

SW1# show ip arp | include 192.168.1.50
Protocol Address Age (min) Hardware Addr Type Interface
Internet 192.168.1.50 0 0010.1122.3344 ARPA Vlan1
Internet 192.168.1.50 0 00e0.f789.abcd ARPA Vlan1","Duplicate IP address 192.168.1.50 statically configured on both Server-A (Fa0/2) and Printer-1 (Fa0/14), causing ARP poisoning and MAC flapping.",Layer 3 (Network),Gateway,Critical,Medium,show ip arp; show log,Reconfigure Printer-1 on Fa0/14 with static IP 192.168.1.55/24 or enable DHCP.,show ip arp shows single binding for 192.168.1.50; ping test steady 0% packet loss,duplicate-ip;arp;mac-flapping;ip-conflict
NS-GW-004,Host Assigned Subnet Network Address as Host IP,Host Laptop-1 cannot send or receive any IP traffic despite link LED being green.,Laptop-1 -> SW1 -> R1 (Gi0/0 10.0.5.1/24),"Laptop-1> ipconfig
FastEthernet0 Connection:
 IP Address......................: 10.0.5.0
 Subnet Mask.....................: 255.255.255.0
 Default Gateway.................: 10.0.5.1

R1# show ip arp
Protocol Address Age (min) Hardware Addr Type Interface
Internet 10.0.5.1 - 0001.9654.1201 ARPA GigabitEthernet0/0","Laptop-1 is invalidly configured with host IP 10.0.5.0, which is the reserved Subnet/Network ID of 10.0.5.0/24.",Layer 3 (Network),Gateway,High,Easy,ipconfig on Laptop-1,Assign valid host IP such as 10.0.5.50/24 to Laptop-1.,ping 10.0.5.1 from Laptop-1 (0% loss),network-address;invalid-ip;subnet;host-config
NS-DHCP-001,Missing IP Helper-Address for DHCP Relay,Client PCs in VLAN 10 fail to receive an IP address and fall back to APIPA (169.254.x.x). Central DHCP Server is located in VLAN 50.,Clients (VLAN 10) -> SW1 -> Router R1 (Gi0/0.10 & Gi0/0.50) -> DHCP Server (192.168.50.10),"PC-1> ipconfig /all
FastEthernet0 Connection:
 IP Address......................: 169.254.18.23
 Subnet Mask.....................: 255.255.0.0
 Default Gateway.................: 0.0.0.0
 DHCP Server.....................: 0.0.0.0

R1# show running-config interface GigabitEthernet0/0.10
interface GigabitEthernet0/0.10
 encapsulation dot1Q 10
 ip address 192.168.10.1 255.255.255.0
!
R1# show running-config interface GigabitEthernet0/0.50
interface GigabitEthernet0/0.50
 encapsulation dot1Q 50
 ip address 192.168.50.1 255.255.255.0
!",Router interface Gi0/0.10 is missing the 'ip helper-address 192.168.50.10' configuration to relay broadcast DHCP DISCOVER requests across subnets.,Layer 3/7 (Relay / DHCP),DHCP,High,Medium,show running-config interface Gi0/0.10,"R1(config)# interface GigabitEthernet0/0.10
R1(config-subif)# ip helper-address 192.168.50.10
R1(config-subif)# exit",ipconfig /renew on PC-1 yields 192.168.10.x with gateway 192.168.10.1,dhcp;helper-address;relay-agent;apipa;broadcast-forwarding
NS-DHCP-002,DHCP Pool Exhaustion,New workstations connecting to office network cannot obtain IP addresses. Existing workstations retain their addresses without issue.,Clients -> SW1 -> R1 (Local IOS DHCP Server for 192.168.1.0/28),"R1# show ip dhcp pool
Pool LAN-POOL :
 Utilization mark (high/low) : 100 / 0
 Subnet size (total/usable) : 16 / 14
 Total addresses : 14
 Leased addresses : 14
 Excluded addresses : 0
 Pending event : none

R1# show ip dhcp binding
IP address Client-ID/Hardware address Lease expiration Type
192.168.1.1 0100.0196.5412.01 Infinite Static
192.168.1.2 0100.5079.6668.00 Mar 01 2026 12:00 AM Automatic","The DHCP pool subnet is sized at /28 (14 usable addresses) and all 14 addresses have been leased, exhausting the pool for new clients.",Layer 7 (Application / DHCP),DHCP,High,Medium,show ip dhcp pool; show ip dhcp binding,"R1(config)# ip dhcp pool LAN-POOL
R1(config-dhcp)# network 192.168.1.0 255.255.255.0
R1(config-dhcp)# default-router 192.168.1.1",show ip dhcp pool shows total addresses > 100 and utilization < 20%,dhcp;pool-exhaustion;ip-leases;capacity
NS-DHCP-003,DHCP Excluded Addresses Missing Gateway IP,"Newly booted host was assigned IP 192.168.10.1 by DHCP, causing IP conflict and taking down the router default gateway.",Host -> SW1 -> Router R1 (Gi0/0 192.168.10.1/24 serving DHCP),"R1# show running-config | section dhcp
ip dhcp pool POOL-A
 network 192.168.10.0 255.255.255.0
 default-router 192.168.10.1
 dns-server 8.8.8.8

R1# show ip dhcp binding
IP address Client-ID/Hardware address Lease expiration Type
192.168.10.1 0100.0c8a.fe33.19 Feb 28 2026 04:15 PM Automatic

R1# show log
%IP-4-DUPADDR: Duplicate address 192.168.10.1 on GigabitEthernet0/0, sourced by 000c.8afe.3319","No 'ip dhcp excluded-address' statement was defined on the router, causing DHCP to offer the router's own interface IP 192.168.10.1 to clients.",Layer 7 (Application / DHCP),DHCP,Critical,Easy,show running-config | section dhcp,"R1(config)# ip dhcp excluded-address 192.168.10.1 192.168.10.10
R1(config)# clear ip dhcp binding 192.168.10.1",show ip dhcp binding no longer includes 192.168.10.1; client obtains 192.168.10.11+,dhcp;excluded-address;ip-conflict;gateway-overlap
NS-DHCP-004,DHCP Option 3 (Default Gateway) Misconfigured,DHCP clients receive IP address and subnet mask correctly but cannot browse intranet servers outside their local subnet.,Clients (10.0.100.0/24) -> SW1 -> Router R1 (Gateway 10.0.100.1),"Client> ipconfig /all
FastEthernet0 Connection:
 IP Address......................: 10.0.100.22
 Subnet Mask.....................: 255.255.255.0
 Default Gateway.................: 10.0.100.254
 DHCP Server.....................: 10.0.100.1

R1# show ip interface brief | include GigabitEthernet
GigabitEthernet0/0 10.0.100.1 YES manual up up

R1# show running-config | section dhcp
ip dhcp pool SALES-NET
 network 10.0.100.0 255.255.255.0
 default-router 10.0.100.254
 dns-server 10.0.100.5","The DHCP pool has option 3 configured as default-router 10.0.100.254, but the actual router gateway is 10.0.100.1.",Layer 7 (DHCP / Option 3),DHCP,High,Easy,show running-config | section dhcp,"R1(config)# ip dhcp pool SALES-NET
R1(config-dhcp)# default-router 10.0.100.1
R1(config-dhcp)# exit",ipconfig /renew on client shows Default Gateway: 10.0.100.1; ping 10.0.100.1 succeeds,dhcp;default-router;option-3;gateway-mismatch
NS-DHCP-005,DHCP Snooping Untrusted Uplink Port,DHCP clients connected to access switch SW2 fail to receive IP addresses after DHCP snooping was globally enabled on SW2.,Clients -> SW2 (Gi0/1 Trunk Uplink) <---> SW1 (Core/DHCP Server),"SW2# show ip dhcp snooping
Switch DHCP snooping is enabled
DHCP snooping is configured on following VLANs:
10,20,30
DHCP snooping option 82 is enabled

SW2# show ip dhcp snooping binding
(no bindings)

SW2# show ip dhcp snooping interfaces
Interface Trusted Rate limit (pps)
----------------------- ------- ----------------
FastEthernet0/1 no unlimited
FastEthernet0/2 no unlimited
GigabitEthernet0/1 no unlimited","DHCP snooping was enabled on SW2 without trusting the uplink trunk port Gi0/1 connected to the authorized DHCP server, blocking incoming DHCP OFFER and ACK packets.",Layer 2/7 (Security / DHCP),DHCP,High,Hard,show ip dhcp snooping interfaces,"SW2(config)# interface GigabitEthernet0/1
SW2(config-if)# ip dhcp snooping trust
SW2(config-if)# exit",show ip dhcp snooping interfaces shows Gi0/1 Trusted: yes; clients receive IP addresses,dhcp;dhcp-snooping;security;trusted-port;uplink
